Name,Phy,EFN
Acromyrmex niger,Acromyrmex_niger,1
Allomerus decemarticulatus,Allomerus_decemarticulatus,1
Anonychomyrma gilberti,Anonychomyrma_gilberti,1
Anoplolepis gracilipes,Anoplolepis_gracilipes,1
Anoplolepis longipes,Anoplolepis_longipes,1
Anoplolepis tenella,Anoplolepis_tenella,1
Brachymyrmex brevicornis,Brachymyrmex_brevicornis,1
Brachymyrmex depilis,Brachymyrmex_depilis,1
Brachymyrmex heeri,Brachymyrmex_heeri,1
Brachymyrmex minutus,Brachymyrmex_minutus,1
Brachymyrmex obscurior,Brachymyrmex_obscurior,1
Brachymyrmex patagonicus,Brachymyrmex_patagonicus,1
Camponotus acvapimensis,Camponotus_acvapimensis,1
Camponotus blandus,Camponotus_blandus,1
Camponotus compressus,Camponotus_compressus,1
Camponotus crassus,Camponotus_crassus,1
Camponotus festinatus,Camponotus_festinatus,1
Camponotus floridanus,Camponotus_floridanus,1
Camponotus herculeanus,Camponotus_herculeanus,1
Camponotus mus,Camponotus_mus,1
Camponotus novogranadensis,Camponotus_novogranadensis,1
Camponotus ocreatus,Camponotus_ocreatus,1
Camponotus ogasawarensis,Camponotus_ogasawarensis,1
Camponotus pallescens,Camponotus_pallescens,1
Camponotus personatus,Camponotus_personatus,1
Camponotus planatus,Camponotus_planatus,1
Camponotus rubrithorax,Camponotus_rubrithorax,1
Camponotus rufipes,Camponotus_rufipes,1
Camponotus sericeiventris,Camponotus_sericeiventris,1
Camponotus sericeus,Camponotus_sericeus,1
Camponotus singularis,Camponotus_singularis,1
Camponotus tortuganus,Camponotus_tortuganus,1
Cataulacus mckeyi,Cataulacus_mckeyi,1
Cephalotes atratus,Cephalotes_atratus,1
Cephalotes minutus,Cephalotes_minutus,1
Cephalotes pusillus,Cephalotes_pusillus,1
Cladomyrma petalae,Cladomyrma_petalae,1
Crematogaster californica,Crematogaster_californica,1
Crematogaster cephalotes,Crematogaster_cephalotes,1
Crematogaster crinosa,Crematogaster_crinosa,1
Crematogaster depilis,Crematogaster_depilis,1
Crematogaster dohrni,Crematogaster_dohrni,1
Crematogaster erecta,Crematogaster_erecta,1
Crematogaster formosa,Crematogaster_formosa,1
Crematogaster lucayana,Crematogaster_lucayana,1
Crematogaster opaca,Crematogaster_opaca,1
Crematogaster opuntiae,Crematogaster_opuntiae,1
Crematogaster peringueyi,Crematogaster_peringueyi,1
Crematogaster pilosa,Crematogaster_pilosa,1
Crematogaster pygmaea,Crematogaster_pygmaea,1
Crematogaster rothneyi,Crematogaster_rothneyi,1
Crematogaster steinheili,Crematogaster_steinheili,1
Dolichoderus bidens,Dolichoderus_bidens,1
Dolichoderus bispinosus,Dolichoderus_bispinosus,1
Dolichoderus thoracicus,Dolichoderus_thoracicus,1
Ectatomma edentatum,Ectatomma_edentatum,1
Ectatomma ruidum,Ectatomma_ruidum,1
Ectatomma tuberculatum,Ectatomma_tuberculatum,1
Forelius analis,Forelius_analis,1
Forelius pruinosus,Forelius_pruinosus,1
Formica biophilica,Formica_biophilica,1
Formica creightoni,Formica_creightoni,1
Formica fusca,Formica_fusca,1
Formica japonica,Formica_japonica,1
Formica lemani,Formica_lemani,1
Formica pallidefulva,Formica_pallidefulva,1
Formica perpilosa,Formica_perpilosa,1
Formica podzolica,Formica_podzolica,1
Gigantiops destructor,Gigantiops_destructor,1
Iridomyrmex chasei,Iridomyrmex_chasei,1
Lasius emarginatus,Lasius_emarginatus,1
Lasius japonicus,Lasius_japonicus,1
Lasius niger,Lasius_niger,1
Lasius paralienus,Lasius_paralienus,1
Linepithema humile,Linepithema_humile,1
Liometopum apiculatum,Liometopum_apiculatum,1
Monomorium cyaneum,Monomorium_cyaneum,1
Monomorium viridum,Monomorium_viridum,1
Myrmecocystus mimicus,Myrmecocystus_mimicus,1
Myrmica rubra,Myrmica_rubra,1
Myrmica sabuleti,Myrmica_sabuleti,1
Myrmicaria brunnea,Myrmicaria_brunnea,1
Odontomachus brunneus,Odontomachus_brunneus,1
Odontomachus hastatus,Odontomachus_hastatus,1
Oecophylla longinoda,Oecophylla_longinoda,1
Oecophylla smaragdina,Oecophylla_smaragdina,1
Paraponera clavata,Paraponera_clavata,1
Paratrechina longicornis,Paratrechina_longicornis,1
Petalomyrmex phylax,Petalomyrmex_phylax,1
Pheidole biconstricta,Pheidole_biconstricta,1
Pheidole dentata,Pheidole_dentata,1
Pheidole desertorum,Pheidole_desertorum,1
Pheidole floridana,Pheidole_floridana,1
Pheidole grallipes,Pheidole_grallipes,1
Pheidole indica,Pheidole_indica,1
Pheidole megacephala,Pheidole_megacephala,1
Pheidole minutula,Pheidole_minutula,1
Pheidole noda,Pheidole_noda,1
Pheidole woodmasoni,Pheidole_woodmasoni,1
