Family,genus species
Acanthaceae,Acanthus sp.
Acanthaceae,Aphelandra albert-smithii
Acanthaceae,Aphelandra barkleyi
Acanthaceae,Aphelandra deppeana
Acanthaceae,Aphelandra dielsii
Acanthaceae,Aphelandra fasciculata
Acanthaceae,Aphelandra fernandezii
Acanthaceae,Aphelandra glabrata
Acanthaceae,Aphelandra golfodulcensis
Acanthaceae,Aphelandra gracilis
Acanthaceae,Aphelandra grandis
Acanthaceae,Aphelandra hartwegiana
Acanthaceae,Aphelandra hylaea
Acanthaceae,Aphelandra impress
Acanthaceae,Aphelandra lasia
Acanthaceae,Aphelandra leonardii
Acanthaceae,Aphelandra lingua-bovis
Acanthaceae,Aphelandra macrophylla
Acanthaceae,Aphelandra macrophylla
Acanthaceae,Aphelandra panamensis
Acanthaceae,Aphelandra pharangophila
Acanthaceae,Aphelandra pulcherrima
Acanthaceae,Aphelandra scabra
Acanthaceae,Aphelandra scolnikae
Acanthaceae,Aphelandra sinclairiana
Acanthaceae,Aphelandra sp.
Acanthaceae,Aphelandra storkii
Acanthaceae,Aphelandra terryae
Acanthaceae,Aphelandra tetragona
Acanthaceae,Aphelandra unnamed species
Acanthaceae,Avicennia sp.
Acanthaceae,Barleria diacantha
Acanthaceae,Barleria eranthemoides
Acanthaceae,Barleria trispinosa
Acanthaceae,Brachystephanus sp.
Acanthaceae,Ruellia brachysiphon
Acanthaceae,Ruellia bulbifera
Acanthaceae,Ruellia coerulea
Acanthaceae,Ruellia erythropus
Acanthaceae,Ruellia hypercoides
Acanthaceae,Ruellia macrosolen
Acanthaceae,Ruellia multifolia
Acanthaceae,Ruellia radicans
Acanthaceae,Thunbergia erecta
Acanthaceae,Thunbergia grandiflora
Acanthaceae,Thunbergia laurifolia
Adoxaceae,Sambucus canadensis
Adoxaceae,Sambucus coerula
Adoxaceae,Sambucus ebulus
Adoxaceae,Sambucus javanica
Adoxaceae,Sambucus latipinna
Adoxaceae,Sambucus microbotrys
Adoxaceae,Sambucus nigra (niger)
Adoxaceae,Sambucus pubens
Adoxaceae,Sambucus racemosa
Adoxaceae,Sambucus siebolidana
Adoxaceae,Sambucus williamsii
Adoxaceae,Sambucus nigra
Adoxaceae,Viburnum beccarii
Adoxaceae,Viburnum boninensis
Adoxaceae,Viburnum clemensae
Adoxaceae,Viburnum cornutidens
Adoxaceae,Viburnum costaricanum
Adoxaceae,Viburnum dentatum
Adoxaceae,Viburnum dilatatum
Adoxaceae,Viburnum edule
Adoxaceae,Viburnum erosum
Adoxaceae,Viburnum glaberrium
Adoxaceae,Viburnum koreanum
Adoxaceae,Viburnum opulus
Adoxaceae,Viburnum platyphyllum
Adoxaceae,Viburnum propinquum
Adoxaceae,Viburnum rafinesquianum
Adoxaceae,Viburnum sargentii
Adoxaceae,Viburnum setigerum
Adoxaceae,Viburnum spp.
Adoxaceae,Viburnum stellatomentosum
Adoxaceae,Viburnum trilobum
Adoxaceae,Viburnum venustrum
Adoxaceae,Viburnum vernicosum
Adoxaceae,Viburnum wrightii
Alismataceae,Alisma sp.
Amaranthaceae,Iresine celosia
Anacardiaceae,Anacardium occidentale
Anacardiaceae,Holigarna arnottiana
Anacardiaceae,Holigarna ferruginea
Anacardiaceae,Holigarna grahamii
Anacardiaceae,Holigarna helferi
Ancistrocladaceae,Ancistrocladus sp.
Annonaceae,Annona sp.
Apocynaceae,Allamandra cathartica
Apocynaceae,Allamandra neriifolia
Apocynaceae,Aspidospema quebracho-blanco
Apocynaceae,Calotropis gigantea
Apocynaceae,Ceropegia johnsonii
Apocynaceae,Ceropegia sankuruensis
Apocynaceae,Dregea volubilis
Apocynaceae,Gonolobus barabatus
Apocynaceae,Gymnema lactiferum
Apocynaceae,Gymnema pachyglossum
Apocynaceae,Hoya carnosa
Apocynaceae,Hoya longifolia
Apocynaceae,Hoya sp.
Apocynaceae,Ichnocarpus fruticosus
Apocynaceae,Marsdenia glabra
Apocynaceae,Oxypetalum sp.
Apocynaceae,Pachypodium saundersii
Apocynaceae,"Philibertia aff, cynachoidi"
Apocynaceae,Plumeria alba
Apocynaceae,Plumeria rubra
Apocynaceae,Prestonia mexicana
Apocynaceae,Sarcostemma gardneri
Apocynaceae,Stephanotis floribunda
Apocynaceae,Tabernaemontana divaricata
Apocynaceae,Thevetia sp.
Apocynaceae,Wrightia laevis ssp.Millgar
Aquifoliaceae,Ilex paraguariensis
Araceae,Alocasia grata
Araceae,Alocasia putzeysii
Araceae,Philodendron acutatum
Araceae,Philodendron cuspidatum
