"EFN","Phy","matched_name","RangeY","domY","mycoY"
1,"Abarema jupumba","Abarema jupunba",FALSE,FALSE,FALSE
1,"Abarema lucida","Abarema lucida",FALSE,FALSE,FALSE
1,"Abarema scutifera","Abarema scutifera",FALSE,FALSE,FALSE
1,"Abarema turgida",NA,FALSE,FALSE,FALSE
1,"Acacia abyssinica","Acacia abyssinica",TRUE,FALSE,FALSE
1,"Acacia acanthoclada","Acacia acanthoclada",FALSE,FALSE,FALSE
1,"Acacia acradenia","Acacia acradenia",TRUE,FALSE,FALSE
1,"Acacia acuifera","Acacia acuifera",FALSE,FALSE,FALSE
1,"Acacia aculeatissima","Acacia aculeatissima",FALSE,FALSE,FALSE
1,"Acacia acuminata var. burkittii","Acacia acuminata",FALSE,FALSE,FALSE
1,"Acacia adhaerens","Acacia adhaerens",FALSE,FALSE,FALSE
1,"Acacia adunca","Acacia adunca",TRUE,FALSE,FALSE
1,"Acacia allenii","Acacia allenii",FALSE,FALSE,FALSE
1,"Acacia amazonica","Acacia amazonica",FALSE,FALSE,FALSE
1,"Acacia amblygona","Acacia amblygona",FALSE,FALSE,FALSE
1,"Acacia amentacea","Acacia amentacea",FALSE,FALSE,FALSE
1,"Acacia amoena","Acacia amoena",TRUE,FALSE,FALSE
1,"Acacia anegadensis","Acacia anegadensis",FALSE,FALSE,FALSE
1,"Acacia aneura","Acacia aneura",TRUE,FALSE,FALSE
1,"Acacia angustissima","Acacia angustissima",TRUE,FALSE,FALSE
1,"Acacia asparagoides","Acacia asparagoides",FALSE,FALSE,FALSE
1,"Acacia ataxacantha","Acacia ataxacantha",TRUE,FALSE,FALSE
1,"Acacia attenuata","Acacia attenuata",FALSE,FALSE,FALSE
1,"Acacia aulacocarpa","Acacia aulacocarpa",TRUE,FALSE,FALSE
1,"Acacia auriculiformis","Acacia auriculiformis",TRUE,FALSE,TRUE
1,"Acacia ausfeldii","Acacia ausfeldii",FALSE,FALSE,FALSE
1,"Acacia baileyana","Acacia baileyana",TRUE,FALSE,FALSE
1,"Acacia barahonensis","Acacia barahonensis",FALSE,FALSE,FALSE
1,"Acacia baronii","Acacia baronii",FALSE,FALSE,FALSE
1,"Acacia belairioides","Acacia belairioides",FALSE,FALSE,FALSE
1,"Acacia berlanderii","Acacia berlandieri",FALSE,FALSE,FALSE
1,"Acacia betchei","Acacia betchei",FALSE,FALSE,FALSE
1,"Acacia biaciculata","Acacia biaciculata",FALSE,FALSE,FALSE
1,"Acacia bilimeki","Acacia bilimekii",FALSE,FALSE,FALSE
1,"Acacia blakei","Acacia blakei",TRUE,FALSE,FALSE
1,"Acacia blakelyi","Acacia blakelyi",TRUE,FALSE,FALSE
1,"Acacia brachystachya","Acacia brachystachya",TRUE,FALSE,FALSE
1,"Acacia brandageana","Acacia brandegeana",FALSE,FALSE,FALSE
1,"Acacia brevispica","Acacia brevispica",FALSE,FALSE,FALSE
1,"Acacia bucheri","Acacia bucheri",FALSE,FALSE,FALSE
1,"Acacia caesia","Acacia caesia",TRUE,FALSE,FALSE
1,"Acacia caffra","Acacia caffra",TRUE,FALSE,FALSE
1,"Acacia calamifolia","Acacia calamifolia",TRUE,FALSE,FALSE
1,"Acacia calyculata","Acacia calyculata",FALSE,FALSE,FALSE
