"EFN","Phy","matched_name"
1,"Abarema jupumba","Abarema jupunba"
1,"Abarema laeta","Abarema laeta"
1,"Abarema lucida","Abarema lucida"
1,"Abarema scutifera","Abarema scutifera"
1,"Abarema turgida","Abarema pittier"
1,"Abobra viridiflora","Abobra viridiflora"
1,"Abutilon sp.","Abutilon sp."
1,"Acacia abyssinica","Acacia abyssinica"
1,"Acacia acanthoclada","Acacia acanthoclada"
1,"Acacia acradenia","Acacia acradenia"
1,"Acacia acuifera","Acacia acuifera"
1,"Acacia aculeatissima","Acacia aculeatissima"
1,"Acacia acuminata var. burkittii","Acacia acuminata"
1,"Acacia adhaerens","Acacia adhaerens"
1,"Acacia adunca","Acacia adunca"
1,"Acacia allenii","Acacia allenii"
1,"Acacia amazonica","Acacia amazonica"
1,"Acacia amblygona","Acacia amblygona"
1,"Acacia amentacea","Acacia amentacea"
1,"Acacia amoena","Acacia amoena"
1,"Acacia anegadensis","Acacia anegadensis"
1,"Acacia aneura","Acacia aneura"
1,"Acacia angustissima","Acacia angustissima"
1,"Acacia asparagoides","Acacia asparagoides"
1,"Acacia ataxacantha","Acacia ataxacantha"
1,"Acacia attenuata","Acacia attenuata"
1,"Acacia aulacocarpa","Acacia aulacocarpa"
1,"Acacia auriculiformis","Acacia auriculiformis"
1,"Acacia ausfeldii","Acacia ausfeldii"
1,"Acacia baileyana","Acacia baileyana"
1,"Acacia barahonensis","Acacia barahonensis"
1,"Acacia baronii","Acacia baronii"
1,"Acacia belairioides","Acacia belairioides"
1,"Acacia berlanderii","Acacia berlandieri"
1,"Acacia betchei","Acacia betchei"
1,"Acacia biaciculata","Acacia biaciculata"
1,"Acacia bilimeki","Acacia bilimekii"
1,"Acacia blakei","Acacia blakei"
1,"Acacia blakelyi","Acacia blakelyi"
1,"Acacia brachystachya","Acacia brachystachya"
1,"Acacia brandageana","Acacia brandegeana"
1,"Acacia brevispica","Acacia brevispica"
1,"Acacia bucheri","Acacia bucheri"
1,"Acacia caesia","Acacia caesia"
1,"Acacia caffra","Acacia caffra"
1,"Acacia calamifolia","Acacia calamifolia"
1,"Acacia calyculata","Acacia calyculata"
1,"Acacia cambagei","Acacia cambagei"
1,"Acacia camptocladia","Acacia camptoclada"
1,"Acacia cana","Acacia cana"
1,"Acacia canescens","Acacia canescens"
1,"Acacia caurina","Acacia caurina"
1,"Acacia chalkeri","Acacia chalkeri"
1,"Acacia chariessa","Acacia chariessa"
1,"Acacia cheelii","Acacia cheelii"
1,"Acacia chiapensis","Acacia chiapensis"
1,"Acacia choriophylla","Acacia choriophylla"
1,"Acacia chundra","Acacia chundra"
1,"Acacia cincinnata","Acacia cincinnata"
1,"Acacia cochliacantha","Acacia cochliacantha"
1,"Acacia cochlocarpa","Acacia cochlocarpa"
1,"Acacia collinsii","Acacia collinsii"
1,"Acacia complanata","Acacia complanata"
1,"Acacia concinna","Acacia concinna"
1,"Acacia concurrens","Acacia concurrens"
1,"Acacia conferta","Acacia conferta"
1,"Acacia confusa","Acacia confusa"
1,"Acacia constablei","Acacia constablei"
1,"Acacia constricta","Acacia constricta"
1,"Acacia cookii","Acacia cookii"
1,"Acacia coriacea","Acacia coriacea"
1,"Acacia cornigera","Acacia cornigera"
1,"Acacia crassa","Acacia crassa"
1,"Acacia cucuyo","Acacia cucuyo"
1,"Acacia cultriformis","Acacia cultriformis"
1,"Acacia curvifructa","Acacia curvifructa"
1,"Acacia cyanophyla","Acacia cyanophylla"
1,"Acacia cyclops","Acacia cyclops"
1,"Acacia dawsonii","Acacia dawsonii"
1,"Acacia dealbata","Acacia dealbata"
1,"Acacia deanei","Acacia deanei"
1,"Acacia decora","Acacia decora"
1,"Acacia decurrens","Acacia decurrens"
1,"Acacia dictyophleba","Acacia dictyophleba"
1,"Acacia difformis","Acacia difformis"
1,"Acacia dodonaeifolia","Acacia dodonaeifolia"
1,"Acacia doratoxylon","Acacia doratoxylon"
1,"Acacia drepanolobium","Acacia drepanolobium"
1,"Acacia elongata","Acacia elongata"
1,"Acacia ephedroides","Acacia ephedroides"
1,"Acacia eremaea","Acacia eremaea"
1,"Acacia erubescens","Acacia erubescens"
1,"Acacia excelsa","Acacia excelsa"
1,"Acacia falcata","Acacia falcata"
1,"Acacia falciformis","Acacia falciformis"
1,"Acacia farnesiana","Acacia farnesiana"
1,"Acacia ferruginea","Acacia ferruginea"
1,"Acacia fimbriata","Acacia fimbriata"
1,"Acacia floribunda","Acacia floribunda"
1,"Acacia gaumeri","Acacia gaumeri"
1,"Acacia gentlei","Acacia gentlei"
1,"Acacia gerrardii","Acacia gerrardii"
1,"Acacia glandulifera","Acacia glandulifera"
1,"Acacia globulifera","Acacia globulifera"
1,"Acacia glomerosa","Acacia glomerosa"
1,"Acacia grandistipula","Acacia grandistipula"
1,"Acacia greggii","Acacia greggii"
1,"Acacia hayesii","Acacia hayesii"
1,"Acacia hindsii","Acacia hindsii"
1,"Acacia huarango","Acacia huarango"
1,"Acacia hubbardiana","Acacia hubbardiana"
1,"Acacia huilana","Acacia huilana"
1,"Acacia insulae-lacobi","Acacia insulae-lacobi"
1,"Acacia interior","Acacia interior"
1,"Acacia iteaphylla","Acacia iteaphylla"
1,"Acacia ixodes","Acacia ixodes"
1,"Acacia janzenii","Acacia janzenii"
1,"Acacia kallunkiae","Acacia kallunkiae"
1,"Acacia karroo","Acacia karroo"
1,"Acacia koa","Acacia koa"
1,"Acacia koaia","Acacia koaia"
1,"Acacia lacerans","Acacia lacerans"
1,"Acacia latifolia","Acacia latifolia"
1,"Acacia leiocalyx","Acacia leiocalyx"
1,"Acacia leptostachya","Acacia leptostachya"
1,"Acacia leucophloea","Acacia leucophloea"
1,"Acacia ligulata","Acacia ligulata"
1,"Acacia lineata","Acacia lineata"
1,"Acacia longifolia","Acacia longifolia"
1,"Acacia longissima","Acacia longissima"
1,"Acacia loretensis","Acacia loretensis"
1,"Acacia macradenia","Acacia macradenia"
1,"Acacia maidenii","Acacia maidenii"
1,"Acacia mangium","Acacia mangium"
1,"Acacia maranoensis","Acacia maranoensis"
1,"Acacia mayana","Acacia mayana"
1,"Acacia mearnsii","Acacia mearnsii"
1,"Acacia melanoceras","Acacia melanoceras"
1,"Acacia melanoxylon","Acacia melanoxylon"
1,"Acacia melvillei","Acacia melvillei"
1,"Acacia microbotrya","Acacia microbotrya"
1,"Acacia microsperma","Acacia microsperma"
1,"Acacia miersii","Acacia miersii"
1,"Acacia mucronata","Acacia mucronata"
1,"Acacia muricata","Acacia muricata"
1,"Acacia myrtifolia","Acacia myrtifolia"
1,"Acacia neriifolia","Acacia neriifolia"
1,"Acacia nitidifolia","Acacia nitidifolia"
1,"Acacia occidentalis","Acacia occidentalis"
1,"Acacia omalophylla","Acacia omalophylla"
1,"Acacia oshanesii","Acacia oshanesii"
1,"Acacia oviedoensis","Acacia oviedoensis"
1,"Acacia pacensis","Acacia pacensis"
1,"Acacia paraensis","Acacia paraensis"
1,"Acacia parramattensis","Acacia parramattensis"
1,"Acacia parviflora","Acacia parviflora"
1,"Acacia peninsularis","Acacia peninsularis"
1,"Acacia pennata","Acacia pennata"
1,"Acacia pennatula","Acacia pennatula"
1,"Acacia penninervis","Acacia penninervis"
1,"Acacia piauhiensis","Acacia piauhiensis"
1,"Acacia picachensis","Acacia picachensis"
1,"Acacia plumosa","Acacia plumosa"
1,"Acacia podalyriifolia","Acacia podalyriifolia"
1,"Acacia polyacantha","Acacia polyacantha"
1,"Acacia polyphylla","Acacia polyphylla"
1,"Acacia polypyrigenes","Acacia polypyrigenes"
1,"Acacia potosina","Acacia potosina"
1,"Acacia pravissima","Acacia pravissima"
1,"Acacia pringlei","Acacia pringlei"
1,"Acacia pubescens","Acacia pubescens"
1,"Acacia pulchella","Acacia pulchella"
1,"Acacia pycnantha","Acacia pycnantha"
1,"Acacia retinodes","Acacia retinodes"
1,"Acacia rigidula","Acacia rigidula"
1,"Acacia robusta","Acacia robusta"
1,"Acacia roigii","Acacia roigii"
1,"Acacia rorudiana","Acacia rorudiana"
1,"Acacia rubida","Acacia rubida"
1,"Acacia ruddiae","Acacia ruddiae"
1,"Acacia saligna","Acacia saligna"
1,"Acacia schaffneri","Acacia schaffneri"
1,"Acacia schottii","Acacia schottii"
1,"Acacia semirigida","Acacia semirigida"
1,"Acacia serra","Acacia serra"
1,"Acacia shirleyi","Acacia shirleyi"
1,"Acacia soratensis","Acacia somalensis"
1,"Acacia sp.","Acacia sp."
1,"Acacia spadicifera","Acacia spadicifera"
1,"Acacia sphaerocephala","Acacia sphaerocephala"
1,"Acacia stenophylla","Acacia stenophylla"
1,"Acacia stowardii","Acacia stowardii"
1,"Acacia suaveolens","Acacia suaveolens"
1,"Acacia subangulata","Acacia subangulata"
1,"Acacia subulata","Acacia subulata"
1,"Acacia tamarindifolia","Acacia tamarindifolia"
1,"Acacia telensis","Acacia telensis"
1,"Acacia tenuifolia","Acacia tenuifolia"
1,"Acacia terminalis","Acacia terminalis"
1,"Acacia tetragonophylla","Acacia tetragonophylla"
1,"Acacia tomentella","Acacia tomentella"
1,"Acacia tortuosa","Acacia tortuosa"
1,"Acacia triptera","Acacia triptera"
1,"Acacia ulcifolia","Acacia ulicifolia"
1,"Acacia uncinella","Acacia uncinella"
1,"Acacia victoriae","Acacia victoriae"
1,"Acacia villosa","Acacia villosa"
1,"Acacia wildenowiana","Acacia willdenowiana"
1,"Acacia zapatensis","Acacia zapatensis"
1,"Acalypha amentacea","Acalypha amentacea"
1,"Acalypha sp.","Acalypha sp."
1,"Acanthocereus quadricostatus","Acanthocereus (a."
1,"Acanthocereus tetragonus","Acanthocereus tetragonus"
1,"Acanthus sp.","Acanthus sp."
1,"Acioa bellayana","Acioa bellayana"
1,"Acioa berterii","Acioa barteri"
1,"Acridocarpus adenopharus","Acridocarpus adenophorus"
1,"Acridocarpus longifolius","Acridocarpus longifolius"
1,"Acropera sp.","Acropera lindl."
1,"Actinostemma paniculatum","Actinostemma paniculatum"
1,"Actinostemma probably lobata","Actinostemma griff."
1,"Adansonia sp.","Adansonia l."
1,"Adenanthera colubin","Anadenanthera colubrina"
1,"Adenanthera pavonina","Adenanthera pavonina"
1,"Adenanthera spahaerocephala","Adenanthera l."
1,"Adenanthos cygnorum","Adenanthos cygnorum"
1,"Adenanthos spp.","Adenanthos labill."
1,"Adenia 5 unnamed species","Adenia forssk."
1,"Adenia acuminata","Adenia acuminata"
1,"Adenia antogillana","Adenia antongilliana"
1,"Adenia apiculata","Adenia apiculata"
1,"Adenia australis","Adenia australis"
1,"Adenia buchanannii","Adenia buchananii"
1,"Adenia cf cyanchifolia","Adenia cynanchifolia"
1,"Adenia cissampeloides","Adenia cissampeloides"
1,"Adenia clementis","Adenia clementis"
1,"Adenia cordifolia","Adenia cordifolia"
1,"Adenia cordiphylla","Adenia cardiophylla"
1,"Adenia digitata","Adenia digitata"
1,"Adenia gracilis","Adenia gracilis"
1,"Adenia heterophylla","Adenia heterophylla"
1,"Adenia integrifolia","Ayenia integrifolia"
1,"Adenia lobata","Adenia lobata"
1,"Adenia macrophylla","Adenia macrophylla"
1,"Adenia obtusa","Adenia obtusa"
1,"Adenia palmata","Adenia palmata"
1,"Adenia penangiana","Adenia penangiana"
1,"Adenia perrieri","Adenia perrieri"
1,"Adenia populifolia","Adenia populifolia"
1,"Adenia refracta","Adenia refracta"
1,"Adenia repanda","Adenia repanda"
1,"Adenia stolzii","Adenia stolzii"
1,"Adenia tenuispira","Adenia tenuispira"
1,"Adenia triloba","Adenia triloba"
1,"Adenia trilobata","Adenia trilobata"
1,"Adenia venenata","Adenia venenata"
1,"Adenia volkensii","Adenia volkensii"
1,"Adenia welwitschii","Adenia welwitschii"
1,"Adenocalymma adenophorum","Adenocalymma adenophorum"
1,"Adenocalymma apurense","Adenocalymma apurense"
1,"Adenocalymma axillarum","Adenocalymma axillarum"
1,"Adenocalymma bracteatum","Adenocalymma bracteatum"
1,"Adenocalymma bracteolatum","Adenocalymma bracteolatum"
1,"Adenocalymma bracteosum","Adenocalymma bracteosum"
1,"Adenocalymma campicola","Adenocalymma campicola"
1,"Adenocalymma comosum","Adenocalymma comosum"
1,"Adenocalymma cymbalum","Adenocalymma cymbalum"
1,"Adenocalymma flaviflorum","Adenocalymma flaviflorum"
1,"Adenocalymma impressum","Adenocalymma impressum"
1,"Adenocalymma inundatum","Adenocalymma inundatum"
1,"Adenocalymma magnificum","Adenocalymma magnificum"
1,"Adenocalymma marginatum","Adenocalymma marginatum"
1,"Adenocalymma moringfolia","Adenocalymma moringifolium"
1,"Adenocalymma nodosum","Adenocalymma nodosum"
1,"Adenocalymma paulistarum","Adenocalymma paulistarum"
1,"Adenocalymma salmoneum","Adenocalymma salmoneum"
1,"Adenocalymma subincanum","Adenocalymma subincanum"
1,"Adenocalymma trichocladum","Adenocalymma trichocladum"
1,"Adenopus 4 spp.","Adenopus benth."
1,"Adenopus breviflorus","Adenopus breviflorus"
1,"Adriana quadripartita","Adriana quadripartita"
1,"Adriana tomentosa","Adriana tomentosa"
1,"Adromischus alstonii","Adromischus alstonii"
1,"Aechmea dichlamydea","Aechmea dichlamydea"
1,"Aechmea ramosa","Aechmea ramosa"
1,"Aechmea victoriana","Aechmea victoriana"
1,"Aegiphila cephalophora","Aegiphila cephalophora"
1,"Aegiphila fendleri","Aegiphila fendleri"
1,"Aegiphila lhotskyana","Aegiphila lhotskiana"
1,"Aegiphila lhotzkiana","Aegiphila lhotzkiana"
1,"Aegiphila panamensis","Aegiphila panamensis"
1,"Aegiphila sellowiana","Aegiphila sellowiana"
1,"Aerides falcatum","Aerides falcatum"
1,"Aerides sp.","Aerides lour."
1,"Affonsea hirsuta","Affonsea hirsuta"
